Adj Close	Company Name	Date	记录数	Ticker
8.34	"Sourcefire"	2012-12-31 00:00:00.000	"1"	"FIRE"
8.1	"Sourcefire"	2013-01-02 00:00:00.000	"1"	"FIRE"
8.02	"Sourcefire"	2013-01-03 00:00:00.000	"1"	"FIRE"
7.45	"Sourcefire"	2013-01-04 00:00:00.000	"1"	"FIRE"
7.45	"Sourcefire"	2013-01-07 00:00:00.000	"1"	"FIRE"
7	"Sourcefire"	2013-01-08 00:00:00.000	"1"	"FIRE"
6.59	"Sourcefire"	2013-01-09 00:00:00.000	"1"	"FIRE"
6.75	"Sourcefire"	2013-01-10 00:00:00.000	"1"	"FIRE"
6.33	"Sourcefire"	2013-01-11 00:00:00.000	"1"	"FIRE"
6.39	"Sourcefire"	2013-01-14 00:00:00.000	"1"	"FIRE"
6.21	"Sourcefire"	2013-01-15 00:00:00.000	"1"	"FIRE"
6.2	"Sourcefire"	2013-01-16 00:00:00.000	"1"	"FIRE"
5.94	"Sourcefire"	2013-01-17 00:00:00.000	"1"	"FIRE"
5.66	"Sourcefire"	2013-01-18 00:00:00.000	"1"	"FIRE"
5.45	"Sourcefire"	2013-01-22 00:00:00.000	"1"	"FIRE"
5.39	"Sourcefire"	2013-01-23 00:00:00.000	"1"	"FIRE"
5.69	"Sourcefire"	2013-01-24 00:00:00.000	"1"	"FIRE"
5.53	"Sourcefire"	2013-01-25 00:00:00.000	"1"	"FIRE"
5.67	"Sourcefire"	2013-01-28 00:00:00.000	"1"	"FIRE"
6.41	"Sourcefire"	2013-01-29 00:00:00.000	"1"	"FIRE"
6.47	"Sourcefire"	2013-01-30 00:00:00.000	"1"	"FIRE"
6.8	"Sourcefire"	2013-01-31 00:00:00.000	"1"	"FIRE"
6.89	"Sourcefire"	2013-02-01 00:00:00.000	"1"	"FIRE"
6.28	"Sourcefire"	2013-02-04 00:00:00.000	"1"	"FIRE"
6.32	"Sourcefire"	2013-02-05 00:00:00.000	"1"	"FIRE"
6.05	"Sourcefire"	2013-02-06 00:00:00.000	"1"	"FIRE"
6.25	"Sourcefire"	2013-02-07 00:00:00.000	"1"	"FIRE"
6.17	"Sourcefire"	2013-02-08 00:00:00.000	"1"	"FIRE"
6.21	"Sourcefire"	2013-02-11 00:00:00.000	"1"	"FIRE"
6.01	"Sourcefire"	2013-02-12 00:00:00.000	"1"	"FIRE"
6.4	"Sourcefire"	2013-02-13 00:00:00.000	"1"	"FIRE"
6.14	"Sourcefire"	2013-02-14 00:00:00.000	"1"	"FIRE"
6.09	"Sourcefire"	2013-02-15 00:00:00.000	"1"	"FIRE"
6.11	"Sourcefire"	2013-02-19 00:00:00.000	"1"	"FIRE"
6.1	"Sourcefire"	2013-02-20 00:00:00.000	"1"	"FIRE"
6.09	"Sourcefire"	2013-02-21 00:00:00.000	"1"	"FIRE"
6.12	"Sourcefire"	2013-02-22 00:00:00.000	"1"	"FIRE"
6.54	"Sourcefire"	2013-02-25 00:00:00.000	"1"	"FIRE"
6.47	"Sourcefire"	2013-02-26 00:00:00.000	"1"	"FIRE"
6.54	"Sourcefire"	2013-02-27 00:00:00.000	"1"	"FIRE"
6.34	"Sourcefire"	2013-02-28 00:00:00.000	"1"	"FIRE"
6	"Sourcefire"	2013-03-01 00:00:00.000	"1"	"FIRE"
5.81	"Sourcefire"	2013-03-03 00:00:00.000	"1"	"FIRE"
6.17	"Sourcefire"	2013-03-04 00:00:00.000	"1"	"FIRE"
6.32	"Sourcefire"	2013-03-05 00:00:00.000	"1"	"FIRE"
6.05	"Sourcefire"	2013-03-06 00:00:00.000	"1"	"FIRE"
6	"Sourcefire"	2013-03-07 00:00:00.000	"1"	"FIRE"
5.76	"Sourcefire"	2013-03-10 00:00:00.000	"1"	"FIRE"
6.09	"Sourcefire"	2013-03-11 00:00:00.000	"1"	"FIRE"
5.97	"Sourcefire"	2013-03-12 00:00:00.000	"1"	"FIRE"
5.74	"Sourcefire"	2013-03-13 00:00:00.000	"1"	"FIRE"
5.8	"Sourcefire"	2013-03-14 00:00:00.000	"1"	"FIRE"
5.69	"Sourcefire"	2013-03-17 00:00:00.000	"1"	"FIRE"
6.02	"Sourcefire"	2013-03-18 00:00:00.000	"1"	"FIRE"
5.88	"Sourcefire"	2013-03-19 00:00:00.000	"1"	"FIRE"
5.79	"Sourcefire"	2013-03-20 00:00:00.000	"1"	"FIRE"
6.18	"Sourcefire"	2013-03-24 00:00:00.000	"1"	"FIRE"
6.18	"Sourcefire"	2013-03-25 00:00:00.000	"1"	"FIRE"
6.2	"Sourcefire"	2013-03-26 00:00:00.000	"1"	"FIRE"
6.08	"Sourcefire"	2013-03-27 00:00:00.000	"1"	"FIRE"
5.85	"Sourcefire"	2013-03-28 00:00:00.000	"1"	"FIRE"
5.96	"Sourcefire"	2013-03-31 00:00:00.000	"1"	"FIRE"
6.19	"Sourcefire"	2013-04-01 00:00:00.000	"1"	"FIRE"
6.47	"Sourcefire"	2013-04-02 00:00:00.000	"1"	"FIRE"
6.23	"Sourcefire"	2013-04-03 00:00:00.000	"1"	"FIRE"
6.14	"Sourcefire"	2013-04-04 00:00:00.000	"1"	"FIRE"
6.41	"Sourcefire"	2013-04-07 00:00:00.000	"1"	"FIRE"
6.52	"Sourcefire"	2013-04-08 00:00:00.000	"1"	"FIRE"
6.43	"Sourcefire"	2013-04-09 00:00:00.000	"1"	"FIRE"
6.65	"Sourcefire"	2013-04-10 00:00:00.000	"1"	"FIRE"
6.42	"Sourcefire"	2013-04-11 00:00:00.000	"1"	"FIRE"
6.41	"Sourcefire"	2013-04-14 00:00:00.000	"1"	"FIRE"
6.56	"Sourcefire"	2013-04-15 00:00:00.000	"1"	"FIRE"
6.8	"Sourcefire"	2013-04-16 00:00:00.000	"1"	"FIRE"
6.82	"Sourcefire"	2013-04-17 00:00:00.000	"1"	"FIRE"
6.93	"Sourcefire"	2013-04-18 00:00:00.000	"1"	"FIRE"
6.67	"Sourcefire"	2013-04-21 00:00:00.000	"1"	"FIRE"
6.6	"Sourcefire"	2013-04-22 00:00:00.000	"1"	"FIRE"
6.67	"Sourcefire"	2013-04-23 00:00:00.000	"1"	"FIRE"
6.8	"Sourcefire"	2013-04-24 00:00:00.000	"1"	"FIRE"
6.83	"Sourcefire"	2013-04-25 00:00:00.000	"1"	"FIRE"
6.75	"Sourcefire"	2013-04-28 00:00:00.000	"1"	"FIRE"
6.78	"Sourcefire"	2013-04-29 00:00:00.000	"1"	"FIRE"
6.85	"Sourcefire"	2013-04-30 00:00:00.000	"1"	"FIRE"
6.57	"Sourcefire"	2013-05-01 00:00:00.000	"1"	"FIRE"
6.98	"Sourcefire"	2013-05-02 00:00:00.000	"1"	"FIRE"
6.73	"Sourcefire"	2013-05-05 00:00:00.000	"1"	"FIRE"
6.84	"Sourcefire"	2013-05-06 00:00:00.000	"1"	"FIRE"
6.59	"Sourcefire"	2013-05-07 00:00:00.000	"1"	"FIRE"
6.6	"Sourcefire"	2013-05-08 00:00:00.000	"1"	"FIRE"
6.69	"Sourcefire"	2013-05-09 00:00:00.000	"1"	"FIRE"
7.01	"Sourcefire"	2013-05-12 00:00:00.000	"1"	"FIRE"
7.01	"Sourcefire"	2013-05-13 00:00:00.000	"1"	"FIRE"
7.12	"Sourcefire"	2013-05-14 00:00:00.000	"1"	"FIRE"
6.99	"Sourcefire"	2013-05-15 00:00:00.000	"1"	"FIRE"
7.05	"Sourcefire"	2013-05-16 00:00:00.000	"1"	"FIRE"
7.01	"Sourcefire"	2013-05-19 00:00:00.000	"1"	"FIRE"
6.81	"Sourcefire"	2013-05-20 00:00:00.000	"1"	"FIRE"
6.81	"Sourcefire"	2013-05-21 00:00:00.000	"1"	"FIRE"
6.81	"Sourcefire"	2013-05-22 00:00:00.000	"1"	"FIRE"
6.65	"Sourcefire"	2013-05-23 00:00:00.000	"1"	"FIRE"
6.72	"Sourcefire"	2013-05-27 00:00:00.000	"1"	"FIRE"
